,rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database
0,1,Adenocarcinoma,3.731979483350495e-16,12.19406528189911,433.18712953520117,"['GSTP1', 'NOXO1', 'ACTB', 'CYGB', 'PTGS1', 'LDHA', 'MB', 'UCP3', 'APOE', 'CTSB', 'NQO1', 'GSTK1', 'GPX2', 'GPX1', 'GPX3', 'IDH1', 'GSR', 'NGB', 'FANCC', 'GCLC', 'APC', 'CAT', 'ERCC2', 'NOXA1', 'VIM', 'GCLM', 'SQSTM1']",1.0916039988800199e-12,DisGeNET
1,2,Malignant neoplasm of prostate,9.386620119166497e-15,9.5743917654398,309.2479817229393,"['NCF1', 'GSTP1', 'ACTB', 'CYGB', 'PTGS1', 'PRDX3', 'LDHA', 'MB', 'UCP3', 'AOX1', 'APOE', 'CTSB', 'NQO1', 'GSTK1', 'PRNP', 'GPX2', 'GPX1', 'GPX4', 'GPX3', 'TXNRD2', 'TXNRD1', 'IDH1', 'GSR', 'DHCR24', 'SOD3', 'PRDX6', 'DNM2', 'GCLC', 'APC', 'CAT', 'ERCC2', 'VIM', 'SQSTM1']",1.3727931924281002e-11,DisGeNET
2,3,Prostate carcinoma,3.692577072952275e-14,9.108695284629821,281.73073090871566,"['NCF1', 'GSTP1', 'ACTB', 'CYGB', 'PTGS1', 'PRDX3', 'LDHA', 'MB', 'AOX1', 'APOE', 'CTSB', 'NQO1', 'GSTK1', 'GPX2', 'GPX1', 'GPX4', 'GPX3', 'TXNRD2', 'TXNRD1', 'IDH1', 'GSR', 'DHCR24', 'SOD3', 'PRDX6', 'DNM2', 'GCLC', 'APC', 'CAT', 'ERCC2', 'VIM', 'GCLM', 'SQSTM1']",3.6002626461284677e-11,DisGeNET
3,4,Colon Carcinoma,5.2984716891337485e-14,9.748364825581396,297.9955503385346,"['GSTP1', 'NOXO1', 'EPX', 'ACTB', 'PTGS1', 'PRDX3', 'LDHA', 'UCP2', 'APOE', 'CTSB', 'NQO1', 'GSTK1', 'GPX2', 'GPX1', 'GPX3', 'TXNRD1', 'IDH1', 'NGB', 'FANCC', 'DNM2', 'GCLC', 'APC', 'CAT', 'ERCC2', 'NOXA1', 'VIM', 'SQSTM1']",3.8745074226790534e-11,DisGeNET
4,5,Malignant tumor of colon,1.6364860251676533e-12,8.745815166614761,237.3480411294964,"['GSTP1', 'NOXO1', 'EPX', 'ACTB', 'PTGS1', 'PRDX3', 'LDHA', 'UCP2', 'APOE', 'CTSB', 'NQO1', 'GSTK1', 'GPX2', 'GPX1', 'GPX3', 'TXNRD1', 'IDH1', 'NGB', 'DNM2', 'GCLC', 'APC', 'NOXA1', 'VIM', 'GCLM', 'SQSTM1']",9.573443247230772e-10,DisGeNET
5,6,Malignant neoplasm of lung,2.4366826918140127e-12,8.141154004954583,217.6975806662053,"['GSTP1', 'ACTB', 'CYGB', 'PRDX3', 'LDHA', 'MB', 'UCP2', 'APOE', 'CTSB', 'NQO1', 'GSTK1', 'GPX2', 'GPX1', 'GPX4', 'GPX3', 'TXNRD2', 'TXNRD1', 'DHCR24', 'SOD3', 'PRDX6', 'GCLC', 'APC', 'CAT', 'ERCC2', 'VIM', 'ERCC6', 'GCLM']",1.0733343413738067e-09,DisGeNET
6,7,Cerebrovascular accident,3.128895815485087e-12,12.78162450066578,338.58959089477776,"['NQO1', 'GSTK1', 'PRNP', 'GPX1', 'GPX4', 'GPX3', 'TXNRD2', 'TXNRD1', 'GSR', 'NGB', 'HBA1', 'PTGS1', 'CCS', 'UCP2', 'CAT', 'ERCC2', 'APOE']",1.0733343413738067e-09,DisGeNET
7,8,Carcinoma of lung,3.1675536257883292e-12,8.038995508370764,212.8570178937619,"['GSTP1', 'ACTB', 'CYGB', 'PTGS1', 'PRDX3', 'LDHA', 'MB', 'UCP2', 'APOE', 'CTSB', 'NQO1', 'GSTK1', 'GPX2', 'GPX1', 'GPX4', 'TXNRD2', 'TXNRD1', 'DHCR24', 'SOD3', 'PRDX6', 'GCLC', 'APC', 'CAT', 'ERCC2', 'VIM', 'ERCC6', 'GCLM']",1.0733343413738067e-09,DisGeNET
8,9,Primary malignant neoplasm of lung,3.302567204227098e-12,8.213773416592328,217.1419507380345,"['GSTP1', 'ACTB', 'CYGB', 'PRDX3', 'LDHA', 'MB', 'UCP2', 'APOE', 'CTSB', 'NQO1', 'GSTK1', 'GPX2', 'GPX1', 'GPX4', 'TXNRD2', 'TXNRD1', 'DHCR24', 'SOD3', 'PRDX6', 'GCLC', 'APC', 'CAT', 'ERCC2', 'VIM', 'ERCC6', 'GCLM']",1.0733343413738067e-09,DisGeNET
9,10,Amyotrophic Lateral Sclerosis,4.048131260843265e-12,13.703637976929903,359.4843250863254,"['GSTK1', 'PRNP', 'GPX3', 'TXNRD1', 'GSTP1', 'GSR', 'PRDX6', 'DNM2', 'CCS', 'ALS2', 'MB', 'UCP3', 'UCP2', 'CAT', 'APOE', 'SQSTM1']",1.184078393796655e-09,DisGeNET
10,11,Lung Neoplasms,2.9176525348389985e-11,9.634849956822107,233.71888218853508,"['NQO1', 'GSTK1', 'GPX1', 'GPX4', 'GPX3', 'GSTP1', 'PRDX6', 'ACTB', 'CYGB', 'PTGS1', 'LDHA', 'GCLC', 'APC', 'ERCC2', 'VIM', 'ERCC6', 'APOE', 'GCLM', 'CTSB']",7.758303331276428e-09,DisGeNET
11,12,Brain Neoplasms,4.013768137848279e-11,12.756207078711041,305.3670850338469,"['NQO1', 'GSTK1', 'TXNRD1', 'IDH1', 'GSTP1', 'NGB', 'SOD3', 'CYGB', 'LDHA', 'APC', 'CAT', 'ERCC2', 'VIM', 'APOE', 'CTSB']",9.035825645772729e-09,DisGeNET
