Source Node	Interaction	Target Node	Source ID	Source Alias	Source type	Source querynode	Target ID	Target Alias	Target type	Target querynode	Citation	cx edge id	cx source node id	cx target node id
ACTB	involved-in	Apoptosis	ncbigene:60		gene	true	REACT:R-HSA-109581		pathway			1315	543	449
ACTB	involved-in	Axon guidance	ncbigene:60		gene	true	REACT:R-HSA-422475		pathway			1317	543	287
ACTB	involved-in	Bacterial invasion of epithelial cells	ncbigene:60		gene	true	KEGG:hsa05100		pathway			1318	543	545
ACTB	involved-in	B-WICH complex positively regulates rRNA expression	ncbigene:60		gene	true	REACT:R-HSA-5250924		pathway			1319	543	546
ACTB	involved-in	Deubiquitination	ncbigene:60		gene	true	REACT:R-HSA-5688426		pathway			1324	543	321
ACTB	involved-in	Developmental Biology	ncbigene:60		gene	true	REACT:R-HSA-1266738		pathway			1325	543	291
ACTB	involved-in	DNA Repair	ncbigene:60		gene	true	REACT:R-HSA-73894		pathway			1328	543	294
ACTB	involved-in	Epigenetic regulation of gene expression	ncbigene:60		gene	true	REACT:R-HSA-212165		pathway			1331	543	555
ACTB	involved-in	Fluid shear stress and atherosclerosis	ncbigene:60		gene	true	KEGG:hsa05418		pathway			1333	543	556
ACTB	involved-in	Gene Expression	ncbigene:60		gene	true	REACT:R-HSA-74160		pathway			1337	543	10
ACTB	involved-in	Global Genome Nucleotide Excision Repair (GG-NER)	ncbigene:60		gene	true	REACT:R-HSA-5696399		pathway			1338	543	560
ACTB	involved-in	Hippo signaling pathway	ncbigene:60		gene	true	KEGG:hsa04390		pathway			1340	543	562
ACTB	involved-in	Immune System	ncbigene:60		gene	true	REACT:R-HSA-168256		pathway			1342	543	2
ACTB	involved-in	Influenza A	ncbigene:60		gene	true	KEGG:hsa05164		pathway			1343	543	563
ACTB	involved-in	Innate Immune System	ncbigene:60		gene	true	REACT:R-HSA-168249		pathway			1344	543	3
ACTB	involved-in	Leukocyte transendothelial migration	ncbigene:60		gene	true	KEGG:hsa04670		pathway			1345	543	564
ACTB	involved-in	Metabolism of proteins	ncbigene:60		gene	true	REACT:R-HSA-392499		pathway			1346	543	34
ACTB	involved-in	Nucleotide Excision Repair	ncbigene:60		gene	true	REACT:R-HSA-5696398		pathway			1347	543	565
ACTB	involved-in	Oxytocin signaling pathway	ncbigene:60		gene	true	KEGG:hsa04921		pathway			1348	543	566
ACTB	involved-in	Phagosome	ncbigene:60		gene	true	KEGG:hsa04145		pathway			1350	543	567
ACTB	involved-in	Platelet activation	ncbigene:60		gene	true	KEGG:hsa04611		pathway			1351	543	568
ACTB	involved-in	Positive epigenetic regulation of rRNA expression	ncbigene:60		gene	true	REACT:R-HSA-5250913		pathway			1352	543	569
ACTB	involved-in	Post-translational protein modification	ncbigene:60		gene	true	REACT:R-HSA-597592		pathway			1353	543	37
ACTB	involved-in	Regulation of actin cytoskeleton	ncbigene:60		gene	true	KEGG:hsa04810		pathway			1358	543	285
ACTB	involved-in	RHO GTPase Effectors	ncbigene:60		gene	true	REACT:R-HSA-195258		pathway			1360	543	280
ACTB	involved-in	Salmonella infection	ncbigene:60		gene	true	KEGG:hsa05132		pathway			1363	543	575
ACTB	involved-in	Signaling by Rho GTPases	ncbigene:60		gene	true	REACT:R-HSA-194315		pathway			1365	543	25
ACTB	involved-in	Signal Transduction	ncbigene:60		gene	true	REACT:R-HSA-162582		pathway			1366	543	26
ACTB	involved-in	UCH proteinases	ncbigene:60		gene	true	REACT:R-HSA-5689603		pathway			1369	543	578
ALB	involved-in	Binding and Uptake of Ligands by Scavenger Receptors	ncbigene:213		gene	true	REACT:R-HSA-2173782		pathway			4777	1273	1274
ALB	involved-in	Disease	ncbigene:213		gene	true	REACT:R-HSA-1643685		pathway			4780	1273	45
ALB	involved-in	Disorders of transmembrane transporters	ncbigene:213		gene	true	REACT:R-HSA-5619115		pathway			4781	1273	222
ALB	involved-in	HDL-mediated lipid transport	ncbigene:213		gene	true	REACT:R-HSA-194223		pathway			4782	1273	18
ALB	involved-in	Hemostasis	ncbigene:213		gene	true	REACT:R-HSA-109582		pathway			4783	1273	1
ALB	involved-in	Lipid digestion, mobilization, and transport	ncbigene:213		gene	true	REACT:R-HSA-73923		pathway			4784	1273	20
ALB	involved-in	Lipoprotein metabolism	ncbigene:213		gene	true	REACT:R-HSA-174824		pathway			4785	1273	21
ALB	involved-in	Metabolism	ncbigene:213		gene	true	REACT:R-HSA-1430728		pathway			4786	1273	22
